t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
394,32.17104372847632,32.12779582761414,32.08454871768787,32.0847045724079,32.12779582761419,32.17088787375625,7.371881207806146,7.371881170736923,7.371881133667701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,32.00843836843458,31.96755781678022,31.926677934068294,31.926825257590096,31.967557816780264,32.008291044912745,7.335113795048922,7.3351137600088,7.335113724968678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,31.84676178310965,31.808118990290204,31.769476763235915,31.769616022541452,31.80811899029024,31.84662252380408,7.298529760628805,7.298529727506714,7.298529694384622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,31.68600289301639,31.649475363131664,31.61294831174882,31.613079948258335,31.649475363131693,31.68587125650685,7.2621281899369965,7.262128158627948,7.262128127318897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,31.526151026883273,31.491622970023123,31.457095317861018,31.45721974883222,31.491622970023148,31.52602659591205,7.225908172926633,7.225908143331384,7.225908113736132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,31.367195900289147,31.33455786533791,31.301920172664335,31.302037792515023,31.33455786533793,31.36707828043844,7.189868804090012,7.189868776114752,7.1898687481394905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,31.209127595465606,31.178276123024965,31.147424940069286,31.147536121627564,31.178276123024983,31.209016413907314,7.154009182435942,7.154009155991996,7.154009129548048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,31.051936542200995,31.02277383652714,30.99361137568826,30.99371647137431,31.022773836527154,31.051831446514935,7.118328411467198,7.118328386470744,7.11832836147429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,30.895613499785636,30.868047118697444,30.84048094468103,30.8405802876242,30.868047118697454,30.895514156842452,7.082825599158096,7.082825575529902,7.082825551901706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,30.740149539941164,30.71409210171363,30.688034838619245,30.68812874371401,30.71409210171364,30.740055634846385,7.047499857932175,7.047499835597344,7.047499813262513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,30.58553603068004,30.560904936991445,30.53627399142357,30.536362756327662,30.560904936991456,30.585447265775937,7.012350304639998,7.012350283527734,7.01235026241547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,30.43176462104424,30.40848179509684,30.38519909442411,30.385283000502028,30.408481795096847,30.431680714966312,6.977376060537058,6.97737604058044,6.977376020623822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,30.278827226674963,30.256818865657344,30.234810610592113,30.234889923806993,30.25681886565735,30.278747913460077,6.942576251261794,6.942576232397565,6.942576213533336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,30.126716016167787,30.10591235727283,30.085108787988233,30.085183759744876,30.10591235727284,30.12664104441114,6.907950006813729,6.907949988982093,6.907949971150457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,29.97542339817033,29.955758497425823,29.93609367247022,29.936164540411994,29.955758497425826,29.975352530228555,6.8734964615317,6.873496444676135,6.87349642782057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,29.824942009181655,29.806353532391473,29.787765119700563,29.78783210846268,29.806353532391476,29.824875020419537,6.839214754072212,6.839214738139289,6.839214722206367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,29.67526470201505,29.657693727147382,29.640122806492357,29.640186128413916,29.657693727147386,29.67520138009349,6.805104027387889,6.805104012327106,6.805103997266322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,29.526384534887843,29.509775365283293,29.493166241529657,29.49322609732671,29.509775365283296,29.526324679090795,6.771163428706047,6.7711634144696635,6.771163400233279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,29.378294761103948,29.362594748910784,29.346894775496516,29.346951354898284,29.362594748910787,29.378238181702187,6.737392109507359,6.737392096050248,6.737392082593137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,29.23098881929665,29.216148198573027,29.201307610647074,29.201361092997356,29.21614819857303,29.23093533694637,6.703789225504633,6.703789212784139,6.703789200063645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,29.084460324200986,29.070432053154672,29.05640380984733,29.056454364672984,29.070432053154676,29.08440976937534,6.670353936621704,6.6703539245975065,6.670353912573309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,28.938703057926798,28.925442669791877,28.912182305117486,28.91223009266578,28.92544266979188,28.93865527037852,6.637085406972419,6.6370853956064035,6.637085384240388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,28.79371096170494,28.781176423782593,28.768641905702236,28.768687077448792,28.781176423782597,28.793665789958396,6.603982804839733,6.603982794095872,6.603982783352011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,28.64947812808086,28.637629708497048,28.625781305694805,28.62582400482376,28.63762970849705,28.64943542895192,6.5710453026549125,6.571045292499151,6.571045282343389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,28.505998793531035,28.494798935288554,28.483599091239263,28.483639453097116,28.494798935288557,28.505958431673196,6.538272076976838,6.538272067376984,6.538272057777131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,28.363267331479104,28.352680533404587,28.342093747334115,28.34213189985875,28.352680533404595,28.363229178954484,6.505662308471413,6.505662299397037,6.505662290322663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,28.2212782456899,28.21127094989821,28.20126366425907,28.201299728385287,28.211270949898218,28.221242181563692,6.4732151818910735,6.473215173313412,6.473215164735753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,28.080026164020634,28.07056664953981,28.061107143645618,28.06114123368847,28.070566649539817,28.079992073977788,6.440929886054404,6.440929877946267,6.440929869838133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
