t,E_field,E_source_remaining,E_injected_cum,E_leaked_cum,conservation_residual
353,327.6594825386233,0.0,393.46399021749124,65.80450767886802,8.526512829121202e-14
354,327.36870091151593,0.0,393.46399021749124,66.09528930597543,1.1368683772161603e-13
355,327.07817733875817,0.0,393.46399021749124,66.3858128787332,1.2789769243681803e-13
356,326.7879115913395,0.0,393.46399021749124,66.67607862615186,9.947598300641403e-14
357,326.4979034404527,0.0,393.46399021749124,66.96608677703873,1.9895196601282805e-13
358,326.2081526574935,0.0,393.46399021749124,67.2558375599979,1.4210854715202004e-13
359,325.9186590140606,0.0,393.46399021749124,67.54533120343082,1.8474111129762605e-13
360,325.6294222819553,0.0,393.46399021749124,67.83456793553606,1.4210854715202004e-13
361,325.34044223318165,0.0,393.46399021749124,68.12354798430978,1.8474111129762605e-13
362,325.0517186399456,0.0,393.46399021749124,68.4122715775458,1.4210854715202004e-13
363,324.7632512746557,0.0,393.46399021749124,68.70073894283573,1.9895196601282805e-13
364,324.4750399099222,0.0,393.46399021749124,68.98895030756924,1.9895196601282805e-13
365,324.1870843185572,0.0,393.46399021749124,69.2769058989342,1.5631940186722204e-13
366,323.8993842735746,0.0,393.46399021749124,69.56460594391683,1.7053025658242404e-13
367,323.6119395481894,0.0,393.46399021749124,69.85205066930197,1.4210854715202004e-13
368,323.32474991581824,0.0,393.46399021749124,70.13924030167317,1.7053025658242404e-13
369,323.03781515007853,0.0,393.46399021749124,70.42617506741286,1.4210854715202004e-13
370,322.75113502478877,0.0,393.46399021749124,70.71285519270262,1.4210854715202004e-13
371,322.46470931396806,0.0,393.46399021749124,70.99928090352333,1.4210854715202004e-13
372,322.17853779183616,0.0,393.46399021749124,71.28545242565528,1.9895196601282805e-13
373,321.89262023281316,0.0,393.46399021749124,71.57136998467828,1.9895196601282805e-13
374,321.60695641151926,0.0,393.46399021749124,71.85703380597221,2.2737367544323206e-13
375,321.3215461027748,0.0,393.46399021749124,72.14244411471667,2.1316282072803006e-13
376,321.0363890815999,0.0,393.46399021749124,72.42760113589156,2.2737367544323206e-13
377,320.7514851232143,0.0,393.46399021749124,72.71250509427719,2.5579538487363607e-13
378,320.46683400303726,0.0,393.46399021749124,72.99715621445421,2.2737367544323206e-13
379,320.1824354966874,0.0,393.46399021749124,73.28155472080411,2.5579538487363607e-13
380,319.8982893799824,0.0,393.46399021749124,73.56570083750916,2.8421709430404007e-13
381,319.6143954289388,0.0,393.46399021749124,73.84959478855271,2.5579538487363607e-13
382,319.33075341977207,0.0,393.46399021749124,74.1332367977194,2.2737367544323206e-13
383,319.0473631288963,0.0,393.46399021749124,74.41662708859519,2.2737367544323206e-13
384,318.76422433292385,0.0,393.46399021749124,74.69976588456765,2.5579538487363607e-13
385,318.48133680866545,0.0,393.46399021749124,74.98265340882611,3.126388037344441e-13
386,318.19870033312975,0.0,393.46399021749124,75.26528988436178,2.8421709430404007e-13
387,317.91631468352347,0.0,393.46399021749124,75.54767553396806,2.8421709430404007e-13
388,317.63417963725095,0.0,393.46399021749124,75.82981058024059,2.984279490192421e-13
389,317.3522949719141,0.0,393.46399021749124,76.11169524557742,2.7000623958883807e-13
390,317.0706604653122,0.0,393.46399021749124,76.39332975217931,2.5579538487363607e-13
391,316.78927589544173,0.0,393.46399021749124,76.6747143220498,2.8421709430404007e-13
392,316.5081410404961,0.0,393.46399021749124,76.9558491769954,2.8421709430404007e-13
393,316.2272556788657,0.0,393.46399021749124,77.23673453862583,2.5579538487363607e-13
394,315.94661958913747,0.0,393.46399021749124,77.517370628354,2.2737367544323206e-13
395,315.666232550095,0.0,393.46399021749124,77.7977576673965,2.5579538487363607e-13
396,315.38609434071793,0.0,393.46399021749124,78.07789587677351,1.9895196601282805e-13
397,315.1062047401823,0.0,393.46399021749124,78.35778547730912,1.8474111129762605e-13
398,314.82656352786006,0.0,393.46399021749124,78.6374266896314,2.1316282072803006e-13
399,314.54717048331884,0.0,393.46399021749124,78.9168197341726,1.9895196601282805e-13
400,314.26802538632205,0.0,393.46399021749124,79.19596483116939,1.9895196601282805e-13
401,313.98912801682843,0.0,393.46399021749124,79.47486220066303,2.1316282072803006e-13
402,313.7104781549921,0.0,393.46399021749124,79.75351206249938,2.1316282072803006e-13
403,313.4320755811621,0.0,393.46399021749124,80.03191463632936,2.2737367544323206e-13
404,313.15392007588264,0.0,393.46399021749124,80.31007014160878,1.7053025658242404e-13
405,312.87601141989256,0.0,393.46399021749124,80.58797879759885,1.7053025658242404e-13
406,312.59834939412525,0.0,393.46399021749124,80.86564082336616,1.7053025658242404e-13
407,312.3209337797085,0.0,393.46399021749124,81.14305643778289,1.7053025658242404e-13
408,312.04376435796456,0.0,393.46399021749124,81.42022585952688,1.9895196601282805e-13
409,311.7668409104094,0.0,393.46399021749124,81.697149307082,1.8474111129762605e-13
410,311.4901632187532,0.0,393.46399021749124,81.97382699873822,1.7053025658242404e-13
411,311.21373106489966,0.0,393.46399021749124,82.25025915259175,1.7053025658242404e-13
412,310.93754423094606,0.0,393.46399021749124,82.52644598654533,1.4210854715202004e-13
413,310.6616024991831,0.0,393.46399021749124,82.80238771830824,1.1368683772161603e-13
