path,owner_class,value,category
s1.ady.input_neuron.config.ca_r_leak,NeuronConfig,50.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.ca_release_threshold,NeuronConfig,0.3,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.ca_release_gm,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.v_peak,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.v_reset,NeuronConfig,-0.3,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.b_adapt,NeuronConfig,0.01,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.tau_w,NeuronConfig,0.1,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.trace_tau_pre,NeuronConfig,20.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.trace_tau_post,NeuronConfig,20.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.energy,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.metabolic_recovery,NeuronConfig,0.001,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.basal_metabolic_cost,NeuronConfig,0.0002,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.vr_base_rate,NeuronConfig,0.001,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.vr_activity_coeff,NeuronConfig,0.5,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.vr_max_rate,NeuronConfig,5.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.dc_capacitance,NeuronConfig,40.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.dc_resistance,NeuronConfig,5.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.bc_current,NeuronConfig,0.025,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.agc_base_gain,NeuronConfig,20.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.agc_target_activity,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.agc_tau,NeuronConfig,0.1,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.fatigue_capacitance,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.fatigue_r_leak,NeuronConfig,3.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.fatigue_q_spike,NeuronConfig,0.05,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.fatigue_k,NeuronConfig,0.5,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.mitosis_v_fat_threshold,NeuronConfig,0.8,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.mitosis_confirm_steps,NeuronConfig,50000,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.mitosis_max_splits,NeuronConfig,4,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.apoptosis_energy_threshold,NeuronConfig,0.05,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.apoptosis_confirm_steps,NeuronConfig,30000,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.cri_capacitance,NeuronConfig,1.0,DYNAMIC_CAUSAL
